respondent_id,survey_weight,school_enrollment,employment_status,prepared_for_independence,advice_finances,advice_career,advice_mental_health,advice_physical_health,advice_friendships,relies_on_parents_emotionally,phone_video_frequency,text_frequency,in_person_frequency,financial_independence,received_financial_help,lives_with_parents,relationship_rating,true_self_with_parent,parent_relies_on_child_emotionally,knows_parent_beyond_parent_role,parent_involvement_level,communication_satisfaction,age_group,gender,education_level,race_ethnicity,marital_status,income_tier,census_region
636675,2.7380608597943903,Not enrolled in school,Working part time,A fair amount,Extremely often,Very often,Very often,Very often,Very often,A fair amount,A few times a week,A few times a week,Less than once a month,Mostly,Yes,Does not live with a parent,Very good,All of the time,A fair amount,Somewhat well,Less involved than desired,Less often than desired,30–34,Woman,High school or less,"White, non-Hispanic",Married,Lower income,South
637024,1.3361204343155595,Not enrolled in school,Working full time,Not much,Sometimes,Never,Never,Never,Never,Not much,A few times a month,A few times a month,Less than once a month,Completely,Yes,Does not live with a parent,Good,Some of the time,Not at all,Somewhat well,As involved as desired,Less often than desired,18–29,Man,College graduate or higher,"Black, non-Hispanic",Never married,Middle income,South
643728,0.5541329383750135,Not enrolled in school,Working full time,Some,Never,Never,Rarely,Never,Never,Not much,A few times a month,A few times a week,Never,Completely,No,Does not live with a parent,Good,Most of the time,Not much,Extremely well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Never married,Middle income,Northeast
645149,0.5165282484794159,Not enrolled in school,Working part time,A great deal,Extremely often,Sometimes,Sometimes,Sometimes,Sometimes,Some,At least once a day,At least once a day,A few times a week,Mostly,Yes,Does not live with a parent,Good,Some of the time,Some,Somewhat well,As involved as desired,About as often as desired,30–34,Woman,Some college,"White, non-Hispanic",Married,Lower income,South
651256,0.7676433150752916,Not enrolled in school,Not currently working for pay,Some,Never,Rarely,Never,Never,Never,Not at all,A few times a month,A few times a week,Less than once a month,Completely,No,Does not live with a parent,Fair,Most of the time,Some,Somewhat well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"Other or multiracial, non-Hispanic",Married,Upper income,Northeast
651396,0.6514684520235187,Not enrolled in school,Working full time,A fair amount,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,Some,At least once a day,A few times a week,A few times a month,Completely,No,Does not live with a parent,Good,All of the time,Some,Very well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,Hispanic,Married,Middle income,West
652059,0.3521535297902666,Not enrolled in school,Not currently working for pay,A fair amount,Rarely,Rarely,Never,Rarely,Sometimes,Some,A few times a month,A few times a week,A few times a month,Completely,No,Does not live with a parent,Fair,Some of the time,Not at all,Somewhat well,Less involved than desired,Less often than desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Married,Middle income,South
653972,1.0916673562200516,Not enrolled in school,Working full time,A fair amount,Rarely,Rarely,Never,Rarely,Never,Not at all,Less than once a month,Less than once a month,Less than once a month,Completely,No,Does not live with a parent,Good,Most of the time,Not much,Somewhat well,As involved as desired,About as often as desired,30–34,Man,Some college,Hispanic,Never married,Middle income,West
654956,0.8812464525622957,Not enrolled in school,Working full time,A great deal,Sometimes,Very often,Sometimes,Sometimes,Very often,Some,A few times a week,A few times a week,Less than once a month,Completely,No,Does not live with a parent,Excellent,All of the time,Some,Very well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Married,Middle income,West
655741,0.4441773841261953,Not enrolled in school,Working full time,A fair amount,Sometimes,Sometimes,Never,Sometimes,Sometimes,Some,,,,Somewhat,Yes,Lives with all parents,Excellent,Most of the time,Some,Extremely well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Never married,Middle income,Midwest
657883,2.4398511082260725,2-year college or technical school,Not currently working for pay,Some,Rarely,Rarely,Sometimes,Rarely,Sometimes,Not much,A few times a week,A few times a week,Less than once a month,Mostly,No,Does not live with a parent,Very good,Most of the time,A fair amount,Somewhat well,As involved as desired,About as often as desired,30–34,Woman,Some college,"White, non-Hispanic",Living with a partner,Middle income,South
658382,1.381807571222842,Not enrolled in school,Working full time,Some,Never,Never,Never,Never,Never,Not at all,Less than once a month,A few times a month,Less than once a month,Completely,No,Does not live with a parent,Excellent,Most of the time,Not much,Not too well,Less involved than desired,Less often than desired,30–34,Man,Some college,Hispanic,Married,Middle income,West
658651,0.6427966040895615,Not enrolled in school,Working full time,A fair amount,Sometimes,Sometimes,Rarely,Rarely,Never,Not much,,,,Mostly,Yes,Lives with all parents,Very good,Some of the time,Not at all,Not too well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Living with a partner,Upper income,Northeast
662351,2.474055702375646,Not enrolled in school,Working full time,A great deal,Never,Sometimes,Never,Never,Sometimes,Not at all,At least once a day,At least once a day,A few times a month,Completely,No,Does not live with a parent,Excellent,All of the time,Not at all,Extremely well,As involved as desired,About as often as desired,18–29,Nonbinary,High school or less,"Asian, non-Hispanic",Never married,Middle income,Midwest
663768,1.277058357288676,Not enrolled in school,Working full time,A great deal,Rarely,Very often,Sometimes,Sometimes,Very often,Some,A few times a month,A few times a week,Less than once a month,Completely,No,Does not live with a parent,Fair,Some of the time,Not much,Not too well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Married,Lower income,West
664996,0.2919805355463652,Not enrolled in school,Working full time,A great deal,Extremely often,Very often,Very often,Very often,Sometimes,A great deal,At least once a day,A few times a week,Less than once a month,Completely,No,Does not live with a parent,Excellent,All of the time,Some,Very well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Married,Upper income,West
668249,1.0814447407394538,4-year college or graduate school,Working full time,Some,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Some,A few times a month,A few times a week,A few times a month,Mostly,Yes,Does not live with a parent,Good,All of the time,Not much,Very well,As involved as desired,Less often than desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Married,Middle income,Northeast
671577,1.6380486045067064,Not enrolled in school,Working part time,Not much,Rarely,Sometimes,Rarely,Sometimes,Rarely,A great deal,A few times a month,A few times a month,Once a month,Completely,No,Does not live with a parent,Excellent,All of the time,A fair amount,Extremely well,As involved as desired,About as often as desired,30–34,Woman,Some college,"White, non-Hispanic",Living with a partner,Lower income,West
672516,1.0814447407394538,Not enrolled in school,Working full time,Some,Sometimes,Sometimes,Rarely,Sometimes,Rarely,Not much,A few times a month,A few times a month,A few times a month,Mostly,No,Does not live with a parent,Very good,Most of the time,Some,Somewhat well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Living with a partner,Middle income,Northeast
673888,1.037326684833045,Not enrolled in school,Working full time,A great deal,Rarely,Sometimes,Never,Very often,Rarely,Some,Less than once a month,A few times a month,Once a month,Completely,No,Does not live with a parent,Very good,Most of the time,Not much,Somewhat well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Never married,Middle income,South
674200,1.1170069123931652,Not enrolled in school,Not currently working for pay,Some,Never,Never,Never,Never,Never,Some,A few times a week,A few times a week,Less than once a month,Completely,No,Does not live with a parent,Fair,Some of the time,Not much,Somewhat well,Less involved than desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Married,Middle income,South
676445,0.3842920410819323,Not enrolled in school,Working full time,A great deal,Extremely often,Extremely often,Very often,Extremely often,Extremely often,A great deal,At least once a day,At least once a day,Less than once a month,Mostly,Yes,Does not live with a parent,Excellent,All of the time,A fair amount,Extremely well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Living with a partner,Middle income,Northeast
676590,1.3060106441880743,Not enrolled in school,Working part time,A fair amount,Very often,Very often,Never,Sometimes,Sometimes,Not much,Once a month,A few times a month,At least once a day,Somewhat,Yes,Lives with at least one parent,Very good,Some of the time,Some,Very well,As involved as desired,About as often as desired,30–34,Man,Some college,"White, non-Hispanic",Never married,Lower income,South
678783,0.7140062090307076,Not enrolled in school,Working full time,A great deal,Sometimes,Sometimes,Never,Rarely,Rarely,A great deal,A few times a month,At least once a day,Once a month,Mostly,Yes,Does not live with a parent,Excellent,Most of the time,Not much,Somewhat well,As involved as desired,Less often than desired,18–29,Woman,College graduate or higher,"White, non-Hispanic",Living with a partner,Middle income,West
679176,0.7210669400942177,Not enrolled in school,Working full time,A great deal,Rarely,Sometimes,Rarely,Extremely often,Sometimes,Some,,,,Somewhat,No,Lives with all parents,Good,Rarely,Not at all,Somewhat well,More involved than desired,More often than desired,30–34,Man,Some college,"Other or multiracial, non-Hispanic",Married,Lower income,West
684102,0.2317695967330946,Not enrolled in school,Working full time,A great deal,Very often,Very often,Sometimes,Sometimes,Very often,A great deal,At least once a day,At least once a day,A few times a week,Completely,No,Does not live with a parent,Excellent,All of the time,A fair amount,Extremely well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Married,Upper income,South
687177,0.6349981372541201,Not enrolled in school,Working full time,A great deal,Never,Never,Never,Never,Never,Some,A few times a week,At least once a day,Less than once a month,Mostly,No,Does not live with a parent,Very good,Some of the time,Some,Somewhat well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,Hispanic,Never married,Lower income,West
687497,2.037740364683013,Not enrolled in school,Not currently working for pay,Not much,Extremely often,Extremely often,Never,Sometimes,Very often,Not much,At least once a day,At least once a day,A few times a month,Somewhat,Yes,Does not live with a parent,Good,Rarely,A fair amount,Somewhat well,As involved as desired,About as often as desired,30–34,Woman,Some college,Hispanic,Never married,Lower income,South
688022,0.8194030026601017,Not enrolled in school,Working full time,Some,Sometimes,Never,Never,Rarely,Rarely,Some,,,,Completely,No,Lives with all parents,Very good,All of the time,Some,Extremely well,As involved as desired,About as often as desired,18–29,Man,College graduate or higher,"Other or multiracial, non-Hispanic",Never married,Middle income,Northeast
688563,0.4645628343239373,Not enrolled in school,Working full time,Some,Never,Never,Sometimes,Never,Never,Not much,Once a month,A few times a month,A few times a month,Completely,No,Does not live with a parent,Poor,Never,Not at all,Not well at all,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Never married,Middle income,West
690065,1.0839472931920973,Not enrolled in school,Working full time,A great deal,Sometimes,Rarely,Rarely,Rarely,,Not at all,Less than once a month,A few times a month,Less than once a month,Completely,No,Does not live with a parent,Excellent,All of the time,Not at all,Very well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Married,Upper income,Northeast
692394,4.465495814493455,Not enrolled in school,Working full time,Some,Rarely,Rarely,Rarely,Rarely,Rarely,Not much,A few times a month,A few times a month,Less than once a month,Completely,No,Does not live with a parent,Excellent,All of the time,Not at all,Very well,As involved as desired,About as often as desired,30–34,Man,High school or less,"White, non-Hispanic",Married,Lower income,West
694680,0.4585783825269988,Not enrolled in school,Working full time,Some,Very often,Very often,Sometimes,Sometimes,Sometimes,A fair amount,A few times a week,A few times a week,Less than once a month,Mostly,Yes,Does not live with a parent,Fair,Some of the time,Not at all,Not too well,As involved as desired,Less often than desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Never married,Middle income,West
697580,0.981124418825384,Not enrolled in school,Working full time,A great deal,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,A fair amount,A few times a week,A few times a week,A few times a week,Completely,No,Does not live with a parent,Excellent,All of the time,Not much,Very well,As involved as desired,Less often than desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Married,Lower income,West
698078,0.5376973706346726,Not enrolled in school,Not currently working for pay,A great deal,Rarely,Very often,Very often,Rarely,Very often,A fair amount,A few times a week,A few times a week,Once a month,Completely,No,Does not live with a parent,Excellent,Most of the time,A fair amount,Very well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Married,Upper income,South
698477,1.0437494903128428,Not enrolled in school,Working part time,A fair amount,Never,Rarely,Never,Rarely,Never,Not at all,At least once a day,At least once a day,A few times a week,,No,Does not live with a parent,Good,Never,A great deal,Very well,More involved than desired,Less often than desired,30–34,Woman,High school or less,Hispanic,Never married,Lower income,Northeast
704965,0.2792210421445001,Not enrolled in school,Working full time,A fair amount,Rarely,Never,Never,Never,Never,Not at all,A few times a month,A few times a week,A few times a week,Completely,Yes,Does not live with a parent,Poor,Never,Not at all,Not well at all,Less involved than desired,Less often than desired,30–34,Woman,College graduate or higher,"Asian, non-Hispanic",Married,Lower income,South
705563,5.110539139983708,4-year college or graduate school,Working full time,A great deal,Rarely,Sometimes,Rarely,Rarely,Rarely,Not much,,,,Mostly,No,Lives with all parents,Very good,Most of the time,Some,Somewhat well,As involved as desired,About as often as desired,18–29,Man,Some college,Hispanic,Never married,Lower income,West
707103,0.6541122808939748,Not enrolled in school,Working full time,A great deal,Sometimes,Rarely,Rarely,Rarely,Rarely,Not much,A few times a week,A few times a week,Less than once a month,Completely,No,Does not live with a parent,Fair,Some of the time,Some,Very well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Married,Upper income,West
709312,0.2171203812250989,Not enrolled in school,Working part time,Some,Never,Sometimes,Never,Sometimes,Rarely,Some,A few times a week,A few times a week,A few times a month,Completely,No,Does not live with a parent,Good,Most of the time,A great deal,Somewhat well,As involved as desired,More often than desired,18–29,Woman,College graduate or higher,"White, non-Hispanic",Living with a partner,Middle income,South
710918,0.5874252386275616,Not enrolled in school,Working full time,A fair amount,Sometimes,Sometimes,Never,Sometimes,Never,Some,A few times a week,At least once a day,A few times a week,Mostly,No,Does not live with a parent,Poor,Never,Not at all,Extremely well,More involved than desired,About as often as desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Married,Middle income,Midwest
714196,1.0360233653159157,Not enrolled in school,Working full time,A fair amount,Never,Never,Never,Never,Never,Not at all,Less than once a month,Less than once a month,Less than once a month,Completely,No,Does not live with a parent,Fair,Some of the time,Not at all,Somewhat well,Less involved than desired,Less often than desired,18–29,Man,College graduate or higher,"Other or multiracial, non-Hispanic",Living with a partner,Upper income,Midwest
717762,0.4426591535026973,4-year college or graduate school,Working full time,Some,Rarely,Rarely,Never,Rarely,Rarely,Not at all,Less than once a month,A few times a week,A few times a month,Completely,No,Does not live with a parent,Good,Rarely,A fair amount,Very well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Married,Middle income,West
724684,1.886570240992819,Not enrolled in school,Working full time,A great deal,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Some,,,,Mostly,Yes,Lives with all parents,Very good,Most of the time,Not much,Somewhat well,As involved as desired,About as often as desired,18–29,Woman,College graduate or higher,"Black, non-Hispanic",Never married,Upper income,Northeast
727271,0.3651641655296874,Not enrolled in school,Working full time,A great deal,Very often,Sometimes,Rarely,Very often,Sometimes,Not much,Less than once a month,A few times a week,Less than once a month,Completely,No,Does not live with a parent,Very good,Some of the time,Some,Somewhat well,More involved than desired,About as often as desired,30–34,Woman,College graduate or higher,"Other or multiracial, non-Hispanic",Divorced,Middle income,South
201501118992,1.5395815214177344,Not enrolled in school,Working part time,A great deal,Sometimes,Very often,Extremely often,Extremely often,Rarely,A fair amount,,,,A little,Yes,Lives with all parents,Very good,Most of the time,Not much,Somewhat well,As involved as desired,Less often than desired,30–34,Woman,High school or less,Hispanic,Never married,Lower income,South
201501134047,0.3661423934551699,4-year college or graduate school,Working part time,Some,Sometimes,Never,Sometimes,Very often,Sometimes,Some,A few times a month,A few times a week,Less than once a month,Somewhat,Yes,Does not live with a parent,Poor,Rarely,Not much,Not well at all,As involved as desired,About as often as desired,18–29,Woman,College graduate or higher,"White, non-Hispanic",Never married,Lower income,Northeast
201501140481,0.4029672466078119,Not enrolled in school,Working full time,A fair amount,Never,Never,Never,Never,Never,Not at all,A few times a week,Less than once a month,Less than once a month,Mostly,Yes,Does not live with a parent,Poor,Some of the time,Not at all,Not too well,Less involved than desired,Less often than desired,30–34,Man,College graduate or higher,Hispanic,Never married,Middle income,West
201501205715,0.2550543351717373,Not enrolled in school,Working part time,Some,Rarely,Rarely,Rarely,Rarely,Rarely,Not at all,Less than once a month,A few times a month,Less than once a month,Completely,No,Does not live with a parent,Very good,Most of the time,A fair amount,Very well,Less involved than desired,Less often than desired,30–34,Woman,College graduate or higher,"White, non-Hispanic",Living with a partner,Middle income,South
201501208167,0.8048957828253382,2-year college or technical school,Working full time,A fair amount,Sometimes,Sometimes,Very often,Rarely,Sometimes,A fair amount,Once a month,At least once a day,Less than once a month,Completely,No,Does not live with a parent,Excellent,All of the time,Not much,Somewhat well,As involved as desired,About as often as desired,18–29,Man,Some college,"White, non-Hispanic",Never married,Middle income,South
201501228955,0.6242171701922763,4-year college or graduate school,Working part time,Not much,Sometimes,Rarely,Rarely,Never,Never,Some,,,,Not at all,Yes,Lives with all parents,Good,Rarely,Not much,Somewhat well,As involved as desired,About as often as desired,30–34,Man,College graduate or higher,"Asian, non-Hispanic",Never married,Lower income,West
201501229317,1.7426978315424235,Not enrolled in school,Working full time,A great deal,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Some,At least once a day,At least once a day,Less than once a month,Completely,No,Does not live with a parent,Very good,Most of the time,A great deal,Very well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"Black, non-Hispanic",Never married,Middle income,South
201501265578,0.3020662759724152,4-year college or graduate school,Working part time,A great deal,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,A great deal,At least once a day,At least once a day,Once a month,Completely,No,Does not live with a parent,Excellent,All of the time,Some,Extremely well,As involved as desired,About as often as desired,30–34,Woman,College graduate or higher,"Asian, non-Hispanic",Divorced,Lower income,West
201501603640,0.5035428391834412,4-year college or graduate school,Working part time,A great deal,Extremely often,Very often,Sometimes,Very often,Sometimes,A great deal,At least once a day,A few times a week,Less than once a month,Mostly,Yes,Does not live with a parent,Very good,Most of the time,Not much,Somewhat well,As involved as desired,Less often than desired,30–34,Man,College graduate or higher,"White, non-Hispanic",Never married,Lower income,South
