respondent_id,survey_weight,school_enrollment,employment_status,prepared_for_independence,advice_finances,advice_career,advice_mental_health,advice_physical_health,advice_friendships,relies_on_parents_emotionally,phone_video_frequency,text_frequency,in_person_frequency,financial_independence,received_financial_help,lives_with_parents,relationship_rating,true_self_with_parent,parent_relies_on_child_emotionally,knows_parent_beyond_parent_role,parent_involvement_level,communication_satisfaction,age_group,gender,education_level,race_ethnicity,marital_status,income_tier,census_region
651256,0.7676433150752916,4.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,2.0,5.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2,2.0,1.0,5.0,1.0,3.0,1.0
651396,0.6514684520235187,4.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,3.0,2,2.0,1.0,3.0,1.0,2.0,4.0
652059,0.3521535297902666,4.0,3.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,2.0,2,2.0,1.0,1.0,1.0,2.0,3.0
653972,1.0916673562200516,4.0,1.0,2.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2,1.0,2.0,3.0,6.0,2.0,4.0
654956,0.8812464525622957,4.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2,1.0,1.0,1.0,1.0,2.0,4.0
655741,0.4441773841261953,4.0,1.0,2.0,3.0,3.0,5.0,3.0,3.0,3.0,,,,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,2,1.0,1.0,1.0,6.0,2.0,2.0
657883,2.4398511082260725,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,5.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,2,2.0,2.0,1.0,2.0,2.0,3.0
658382,1.381807571222842,4.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,2.0,3.0,1.0,2.0,4.0,4.0,2.0,2.0,2,1.0,2.0,3.0,1.0,2.0,4.0
658651,0.6427966040895615,4.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,4.0,,,,2.0,1.0,1.0,2.0,3.0,5.0,4.0,3.0,3.0,2,1.0,1.0,1.0,2.0,3.0,1.0
662351,2.474055702375646,4.0,1.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,5.0,1.0,3.0,3.0,1,3.0,3.0,4.0,6.0,2.0,2.0
663768,1.277058357288676,4.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2,2.0,1.0,1.0,1.0,1.0,4.0
664996,0.2919805355463652,4.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,5.0,1.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2,2.0,1.0,1.0,1.0,3.0,4.0
668249,1.0814447407394538,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.0,1.0,4.0,2.0,3.0,2.0,2,1.0,1.0,1.0,1.0,2.0,1.0
671577,1.6380486045067064,4.0,2.0,4.0,4.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2,2.0,2.0,1.0,2.0,1.0,4.0
672516,1.0814447407394538,4.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2,1.0,1.0,1.0,2.0,2.0,1.0
673888,1.037326684833045,4.0,1.0,1.0,4.0,3.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,1.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2,1.0,1.0,1.0,6.0,2.0,3.0
674200,1.1170069123931652,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,5.0,1.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,3.0,2,1.0,1.0,1.0,1.0,2.0,3.0
676445,0.3842920410819323,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2,2.0,1.0,1.0,2.0,2.0,1.0
676590,1.3060106441880743,4.0,2.0,2.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2,1.0,2.0,1.0,6.0,1.0,3.0
678783,0.7140062090307076,4.0,1.0,1.0,3.0,3.0,5.0,4.0,4.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,1,2.0,1.0,1.0,2.0,2.0,4.0
679176,0.7210669400942177,4.0,1.0,1.0,4.0,3.0,4.0,1.0,3.0,3.0,,,,3.0,2.0,1.0,3.0,4.0,5.0,3.0,1.0,1.0,2,1.0,2.0,5.0,1.0,1.0,4.0
684102,0.2317695967330946,4.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,2,2.0,1.0,1.0,1.0,3.0,3.0
687177,0.6349981372541201,4.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,1.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2,1.0,1.0,3.0,6.0,1.0,4.0
687497,2.037740364683013,4.0,3.0,4.0,1.0,1.0,5.0,3.0,2.0,4.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2,2.0,2.0,3.0,6.0,1.0,3.0
688022,0.8194030026601017,4.0,1.0,3.0,3.0,5.0,5.0,4.0,4.0,3.0,,,,1.0,2.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,1,1.0,1.0,5.0,6.0,2.0,1.0
688563,0.4645628343239373,4.0,1.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,1.0,2.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,2,2.0,1.0,1.0,6.0,2.0,4.0
690065,1.0839472931920973,4.0,1.0,1.0,3.0,4.0,4.0,4.0,,5.0,5.0,3.0,5.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,3.0,2,1.0,1.0,1.0,1.0,3.0,1.0
692394,4.465495814493455,4.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,1.0,2.0,3.0,1.0,1.0,5.0,2.0,3.0,3.0,2,1.0,3.0,1.0,1.0,1.0,4.0
694680,0.4585783825269988,4.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,5.0,2.0,1.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,2,2.0,1.0,1.0,6.0,2.0,4.0
697580,0.981124418825384,4.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,4.0,2.0,3.0,2.0,2,2.0,1.0,1.0,1.0,1.0,4.0
698078,0.5376973706346726,4.0,3.0,1.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,2,1.0,1.0,1.0,1.0,3.0,3.0
698477,1.0437494903128428,4.0,2.0,2.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,1.0,2.0,,2.0,3.0,3.0,5.0,1.0,2.0,1.0,2.0,2,2.0,3.0,3.0,6.0,1.0,1.0
704965,0.2792210421445001,4.0,1.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,2.0,2.0,2,2.0,1.0,4.0,1.0,1.0,3.0
705563,5.110539139983708,3.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,,,,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1,1.0,2.0,3.0,6.0,1.0,4.0
707103,0.6541122808939748,4.0,1.0,1.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,5.0,1.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,2,2.0,1.0,1.0,1.0,3.0,4.0
709312,0.2171203812250989,4.0,2.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,1,2.0,1.0,1.0,2.0,2.0,3.0
710918,0.5874252386275616,4.0,1.0,2.0,3.0,3.0,5.0,3.0,5.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,1.0,1.0,3.0,2,1.0,1.0,1.0,1.0,2.0,2.0
714196,1.0360233653159157,4.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,4.0,3.0,5.0,3.0,2.0,2.0,1,1.0,1.0,5.0,2.0,3.0,2.0
717762,0.4426591535026973,3.0,1.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2,2.0,1.0,1.0,1.0,2.0,4.0
724684,1.886570240992819,4.0,1.0,1.0,4.0,3.0,4.0,3.0,3.0,3.0,,,,2.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,3.0,1,2.0,1.0,2.0,6.0,3.0,1.0
727271,0.3651641655296874,4.0,1.0,1.0,2.0,3.0,4.0,2.0,3.0,4.0,5.0,2.0,5.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,1.0,3.0,2,2.0,1.0,5.0,3.0,2.0,3.0
201501118992,1.5395815214177344,4.0,2.0,1.0,3.0,2.0,1.0,1.0,4.0,2.0,,,,4.0,1.0,1.0,2.0,2.0,4.0,3.0,3.0,2.0,2,2.0,3.0,3.0,6.0,1.0,3.0
201501134047,0.3661423934551699,3.0,2.0,3.0,3.0,5.0,3.0,2.0,3.0,3.0,3.0,2.0,5.0,3.0,1.0,3.0,5.0,4.0,4.0,5.0,3.0,3.0,1,2.0,1.0,1.0,6.0,1.0,1.0
201501140481,0.4029672466078119,4.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,2.0,1.0,3.0,5.0,3.0,5.0,4.0,2.0,2.0,2,1.0,1.0,3.0,6.0,2.0,4.0
201501205715,0.2550543351717373,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2.0,1.0,1.0,2.0,2.0,3.0
201501208167,0.8048957828253382,2.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,1.0,5.0,1.0,2.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,1,1.0,2.0,1.0,6.0,2.0,3.0
201501228955,0.6242171701922763,3.0,2.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,,,,5.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,2,1.0,1.0,4.0,6.0,1.0,4.0
201501229317,1.7426978315424235,4.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,5.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,2,2.0,1.0,2.0,6.0,2.0,3.0
201501265578,0.3020662759724152,3.0,2.0,1.0,3.0,3.0,3.0,4.0,3.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,1.0,3.0,1.0,3.0,3.0,2,2.0,1.0,4.0,3.0,1.0,4.0
201501603640,0.5035428391834412,3.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,5.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2,1.0,1.0,1.0,6.0,1.0,3.0
201501605978,0.4905964131006797,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,3.0,5.0,4.0,4.0,3.0,2.0,2.0,2,1.0,1.0,1.0,1.0,2.0,4.0
201501606159,0.538901664812224,3.0,1.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2,2.0,1.0,1.0,1.0,1.0,4.0
201501606632,0.8714188079549712,4.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,2.0,1.0,3.0,2.0,2.0,4.0,1.0,3.0,3.0,2,1.0,2.0,1.0,6.0,2.0,4.0
201501608065,0.451780669148742,3.0,1.0,1.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,2.0,5.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2,2.0,1.0,1.0,2.0,,4.0
201501610567,0.4480881945413474,4.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,1,1.0,1.0,1.0,6.0,2.0,4.0
201501610872,0.3637607413241751,4.0,1.0,1.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2,2.0,1.0,1.0,1.0,3.0,1.0
201501611818,0.488854591019136,4.0,1.0,2.0,2.0,5.0,3.0,2.0,5.0,5.0,3.0,2.0,5.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,2.0,2,1.0,1.0,1.0,1.0,3.0,3.0
201501616297,1.5466052392287828,4.0,1.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,1.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2,1.0,1.0,1.0,1.0,2.0,3.0
201501617649,0.4541523504313142,4.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,1.0,2.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,2,1.0,1.0,3.0,1.0,2.0,2.0
201501622472,4.7091678454126304,4.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1,2.0,2.0,1.0,2.0,3.0,3.0
201501622724,2.4383869989034563,4.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,2,1.0,3.0,1.0,6.0,3.0,2.0
201501624218,5.972011849555488,2.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,4.0,2.0,2.0,2.0,1,1.0,2.0,1.0,1.0,2.0,2.0
201501624300,0.2518599959238841,4.0,1.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,1,2.0,1.0,1.0,2.0,2.0,2.0
201501624671,0.8533694789461876,4.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,4.0,2.0,3.0,3.0,2,1.0,1.0,1.0,2.0,2.0,3.0
201501626417,0.3153989970011514,4.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2,1.0,1.0,1.0,1.0,3.0,2.0
201501640302,0.2996737350647932,4.0,1.0,3.0,3.0,,4.0,3.0,,2.0,2.0,2.0,2.0,3.0,1.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,2,2.0,2.0,2.0,6.0,1.0,3.0
201501644301,0.488854591019136,4.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,4.0,3.0,3.0,3.0,2,1.0,1.0,1.0,1.0,3.0,3.0
201501649465,2.915002057064943,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,1,2.0,3.0,3.0,3.0,1.0,3.0
201501650065,0.3404290469526549,4.0,1.0,3.0,2.0,3.0,5.0,4.0,5.0,3.0,,,,4.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,1,2.0,1.0,5.0,6.0,3.0,1.0
201501653278,0.3370198589616606,4.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,5.0,1.0,2.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,2,1.0,1.0,3.0,6.0,3.0,1.0
201501655718,0.7373214858356415,4.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,1,2.0,1.0,1.0,6.0,3.0,2.0
201501667434,0.6301618295481428,4.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,,,,1.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2,2.0,3.0,1.0,6.0,2.0,1.0
201501676079,2.671576449407988,4.0,1.0,1.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,2.0,5.0,1.0,2.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,1,1.0,1.0,1.0,1.0,2.0,3.0
201501676648,1.5950462757493908,4.0,1.0,2.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,1.0,1.0,1.0,6.0,3.0,1.0
201501676768,0.2316458777695321,4.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2,2.0,1.0,4.0,1.0,2.0,4.0
201501678221,1.2116837838023362,4.0,1.0,2.0,4.0,3.0,5.0,3.0,5.0,4.0,3.0,5.0,5.0,1.0,2.0,3.0,5.0,4.0,4.0,3.0,3.0,2.0,1,2.0,1.0,1.0,1.0,2.0,2.0
201501678471,1.918749447435812,4.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,2.0,5.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,1,2.0,1.0,1.0,6.0,1.0,4.0
201501680124,0.9830405621317913,4.0,1.0,1.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,1,2.0,2.0,5.0,1.0,2.0,2.0
