QKEY,INTERVIEW_START_W137,INTERVIEW_END_W137,DEVICE_TYPE_W137,LANG_W137,XSAMPLE_W137,XMARITAL_W137,XKIDS1_W137,XKIDS2_W137,XEVERMAR_W137,SCHLMOD_W137,LIVINGPAR2_W137,PARENTNUM_W137,PARENT_GEND_1_W137,PARENT_GEND_2_W137,PARENT_GEND_3_W137,PARENT_GEND_4_W137,PARENT_GEND_5_W137,PARENT_GEND_6_W137,PARENT_GEND_7_W137,PARENT_GEND_8_W137,PARENT_GEND_9_W137,PARENT_CONTACT_1_W137,PARENT_CONTACT_2_W137,PARENT_CONTACT_3_W137,PARENT_CONTACT_4_W137,PARENT_CONTACT_5_W137,PARENT_CONTACT_6_W137,PARENT_CONTACT_7_W137,PARENT_CONTACT_8_W137,PARENT_CONTACT_9_W137,DOV_PARENT_SELECT_W137,DOV_PARENT_GENDER_W137,CPREPARE_W137,CADVICE_a_W137,CADVICE_b_W137,CADVICE_c_W137,CADVICE_d_W137,CADVICE_e_W137,CADVICE_f_W137,CADVICE_g_W137,CADVICE_h_W137,CDISAGREE_a_W137,CDISAGREE_b_W137,CDISAGREE_c_W137,CDISAGREE_d_W137,CDISAGREE_e_W137,CDISAGREE_f_W137,CDISAGREE_g_W137,CDISAGREE_h_W137,CEMOTIONAL1_W137,CLIVEPAR1_W137,CCOMMPAR1_a_W137,CCOMMPAR1_b_W137,CCOMMPAR1_c_W137,EMPLSIT_W137,MARRYPREF1_W137,CMARRY2_W137,CHILDPREF_W137,CCHILD_W137,CFINANCES1_W137,CFINANCES2_W137,CFINANCES3_W137,CFINANCES4_a_W137,CFINANCES4_b_W137,CFINANCES4_c_W137,CFINANCES4_d_W137,CFINANCES4_e_W137,CFINANCES5_W137,CRATEREL_W137,CTRUSELF_W137,CEMOTIONAL2_W137,CPARKNOW_W137,CINVOLV_W137,CCOMMPAR2_W137,CLIVEPAR2_W137,CLIVEPAR3_a_W137,CLIVEPAR3_b_W137,CLIVEPAR3_c_W137,CLIVEPAR3_d_W137,CLIVEPAR3_e_W137,CLIVEPAR5_a_W137,CLIVEPAR5_b_W137,CHILDGRP_1_W137,CHILDGRP_1_REFUSED_W137,CHILDGRP_2_W137,CHILDGRP_2_REFUSED_W137,CHILDGRP_3_W137,CHILDGRP_3_REFUSED_W137,CHILD_AGE_1_RECODE_W137,CHILD_AGE_2_RECODE_W137,CHILD_AGE_3_RECODE_W137,CHILD_AGE_4_RECODE_W137,CHILD_AGE_5_RECODE_W137,CHILD_AGE_6_RECODE_W137,CHILD_AGE_7_RECODE_W137,CHILD_AGE_8_RECODE_W137,CHILD_AGE_9_RECODE_W137,CHILDTOTAL_W137,CHILD_GEND_1_W137,CHILD_GEND_2_W137,CHILD_GEND_3_W137,CHILD_GEND_4_W137,CHILD_GEND_5_W137,CHILD_GEND_6_W137,CHILD_GEND_7_W137,CHILD_GEND_8_W137,CHILD_GEND_9_W137,CHILD_CONTACT_1_W137,CHILD_CONTACT_2_W137,CHILD_CONTACT_3_W137,CHILD_CONTACT_4_W137,CHILD_CONTACT_5_W137,CHILD_CONTACT_6_W137,CHILD_CONTACT_7_W137,CHILD_CONTACT_8_W137,CHILD_CONTACT_9_W137,DOV_CHILD_SELECT_W137,DOV_CHILD_GENDER_W137,PSUCCESS_W137,PPREPARE_W137,PADVICE_a_W137,PADVICE_b_W137,PADVICE_c_W137,PADVICE_d_W137,PADVICE_e_W137,PADVICE_f_W137,PADVICE_g_W137,PDISAGREE_a_W137,PDISAGREE_b_W137,PDISAGREE_c_W137,PDISAGREE_d_W137,PDISAGREE_e_W137,PDISAGREE_f_W137,PDISAGREE_g_W137,PPASTADV_W137,PEMOTIONAL1_W137,PLIVECHILD1_W137,PCOMMCHILD1_a_W137,PCOMMCHILD1_b_W137,PCOMMCHILD1_c_W137,PFINANCES1_W137,PFINANCES2_W137,PFINANCES3_W137,PFINANCES4_W137,PRATEREL_W137,PTRUKNOW_W137,PEMOTIONAL2_W137,PFEEL_a_W137,PFEEL_b_W137,PFEEL_c_W137,PFEEL_d_W137,PCINVOLV_W137,PCOMMCHILD2_W137,PMONITOR_W137,PLIVECHILD2_W137,PLIVECHILD3_a_W137,PLIVECHILD3_b_W137,CDISABIL_W137,PMILESTONE1_a_W137,PMILESTONE1_b_W137,PMILESTONE1_c_W137,PMILESTONE1_d_W137,PMILESTONE2_W137,PMILESTONE3_W137,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTENDPER,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_REG,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W137_CHILD,WEIGHT_W137_PARENT
605493,2023-10-27T19:42:23Z,2023-10-27T19:46:11Z,1,1,1,1,1,2,1,4.0,2.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,2.0,4.0,4.0,,3.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,,,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,9.0,1,2,2,1,6,2,,1,5,4,1,1,12,,3,6,3,2.0,2,4,1,8,5,1.0,2,2,0.5942078379936837,
606171,2023-10-29T13:46:21Z,2023-10-29T13:52:33Z,2,1,1,2,1,1,2,3.0,1.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,99.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,,4.0,2.0,5.0,1.0,5.0,5.0,5.0,,5.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,5.0,,,1.0,,2.0,,,,,,1.0,1.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,9.0,1,2,2,1,5,1,1.0,1,5,3,1,2,10,,3,6,4,1.0,1,2,1,4,3,1.0,2,2,0.4463020804917564,
606790,2023-11-02T20:50:56Z,2023-11-02T20:57:38Z,2,1,1,1,1,2,1,4.0,2.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,2.0,3.0,5.0,2.0,5.0,,5.0,3.0,5.0,5.0,5.0,5.0,5.0,,5.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,,,,,1.0,,2.0,,,,,,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,9.0,2,2,2,1,5,1,1.0,1,5,3,1,1,2,2.0,2,3,2,,2,4,1,8,4,1.0,2,2,0.50831401847266,
607694,2023-10-27T17:11:25Z,2023-10-27T17:16:03Z,2,1,1,2,2,2,2,4.0,2.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,3.0,3.0,3.0,5.0,5.0,5.0,,5.0,,2.0,4.0,5.0,5.0,3.0,,4.0,,5.0,3.0,2.0,2.0,6.0,1.0,1.0,5.0,1.0,4.0,1.0,,2.0,,,,,,2.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,9.0,1,2,2,2,4,1,2.0,1,1,3,1,2,10,,3,6,2,,2,4,1,9,4,1.0,2,3,0.618016868628595,
608491,2023-10-30T10:23:52Z,2023-10-30T10:29:50Z,2,1,1,6,2,2,2,4.0,1.0,1.0,2.0,,,,,,,,,1.0,,,,,,,,,99.0,2.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,,,3.0,5.0,4.0,4.0,5.0,5.0,,,4.0,2.0,1.0,6.0,1.0,1.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,,,,,,1.0,2.0,2.0,3.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,3.0,,1.0,2.0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,3,1,2,2,3,2,,1,2,2,1,6,11,2.0,4,5,3,2.0,2,3,3,2,3,1.0,2,1,2.5030488089344987,
610786,2023-11-02T10:39:20Z,2023-11-04T12:15:48Z,1,1,1,6,2,2,2,3.0,2.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,3.0,3.0,3.0,5.0,3.0,4.0,,,3.0,3.0,3.0,3.0,3.0,3.0,,,1.0,3.0,3.0,2.0,5.0,1.0,1.0,5.0,1.0,5.0,1.0,,2.0,,,,,,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,5.0,2,2,1,1,6,2,,1,3,5,1,6,10,,3,5,3,1.0,1,1,2,9,2,1.0,2,2,0.5975662126396958,
612332,2023-11-01T14:55:46Z,2023-11-01T14:58:47Z,2,1,1,6,1,2,2,4.0,2.0,2.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,4.0,5.0,4.0,5.0,5.0,4.0,,4.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,5.0,,,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,2,2,1,2,3,2,,1,1,1,1,6,12,,3,5,3,2.0,2,4,3,4,4,1.0,1,2,0.6464232893018635,
615859,2023-10-31T07:31:35Z,2023-10-31T07:38:37Z,2,1,1,6,2,2,2,4.0,2.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,2.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,,,3.0,5.0,4.0,4.0,4.0,4.0,,,2.0,3.0,3.0,1.0,4.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,1,1,1,1,5,2,,1,1,1,1,6,2,2.0,2,3,3,1.0,1,2,1,5,3,1.0,1,2,0.6313720159485123,
617876,2023-10-28T07:03:45Z,2023-10-28T07:15:11Z,1,1,1,6,2,2,2,4.0,2.0,2.0,2.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,,,3.0,4.0,4.0,3.0,3.0,3.0,,,3.0,3.0,3.0,2.0,1.0,1.0,2.0,5.0,2.0,5.0,1.0,,2.0,,,,,,2.0,2.0,2.0,4.0,2.0,3.0,2.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,3,2,1,2,3,2,,1,1,1,1,6,12,,3,6,4,2.0,2,4,1,2,5,1.0,2,2,1.6847429696994776,
619330,2023-10-26T20:37:04Z,2023-10-26T20:40:41Z,2,1,1,6,2,2,2,4.0,2.0,2.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,1.0,,,,1.0,1.0,3.0,3.0,5.0,1.0,,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,4.0,4.0,,2.0,2.0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,3.0,2,2,1,1,6,1,2.0,4,4,3,4,6,9,,3,6,2,,2,4,1,7,5,1.0,1,3,0.1153522785847851,
622962,2023-11-01T12:03:11Z,2023-11-01T12:06:30Z,2,1,1,1,2,2,1,3.0,2.0,2.0,1.0,2.0,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,,4.0,,3.0,1.0,3.0,5.0,4.0,,3.0,,3.0,3.0,3.0,3.0,5.0,1.0,,,3.0,4.0,2.0,2.0,2.0,,,,,,2.0,1.0,2.0,3.0,3.0,3.0,3.0,4.0,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,8.0,1,2,1,1,6,2,,1,1,1,1,1,9,,3,6,2,,2,4,1,5,4,1.0,1,2,0.3144036928102103,
